"eco_code","eco_name","Fine_biome","Code"
"AA0101","Admiralty Islands lowland rain forests","Tropical evergreen forest","TEF"
"AA0102","Banda Sea Islands moist deciduous forests","Tropical evergreen forest","TEF"
"AA0103","Biak-Numfoor rain forests","Tropical evergreen forest","TEF"
"AA0104","Buru rain forests","Tropical evergreen forest","TEF"
"AA0105","Central Range montane rain forests","Tropical evergreen forest","TEF"
"AA0106","Halmahera rain forests","Tropical evergreen forest","TEF"
"AA0107","Huon Peninsula montane rain forests","Tropical evergreen forest","TEF"
"AA0108","Yapen rain forests","Tropical evergreen forest","TEF"
"AA0109","Lord Howe Island subtropical forests","Tropical evergreen forest","TEF"
"AA0110","Louisiade Archipelago rain forests","Tropical evergreen forest","TEF"
"AA0111","New Britain-New Ireland lowland rain forests","Tropical evergreen forest","TEF"
"AA0112","New Britain-New Ireland montane rain forests","Tropical evergreen forest","TEF"
"AA0113","New Caledonia rain forests","Tropical evergreen forest","TEF"
"AA0114","Norfolk Island subtropical forests","Tropical evergreen forest","TEF"
"AA0115","Northern New Guinea lowland rain and freshwater swamp forests","Tropical evergreen forest","TEF"
"AA0116","Northern New Guinea montane rain forests","Tropical evergreen forest","TEF"
"AA0117","Queensland tropical rain forests","Tropical evergreen forest","TEF"
"AA0118","Seram rain forests","Tropical evergreen forest","TEF"
"AA0119","Solomon Islands rain forests","Tropical evergreen forest","TEF"
"AA0120","Southeastern Papuan rain forests","Tropical evergreen forest","TEF"
"AA0121","Southern New Guinea freshwater swamp forests","Tropical evergreen forest","TEF"
"AA0122","Southern New Guinea lowland rain forests","Tropical evergreen forest","TEF"
"AA0123","Sulawesi lowland rain forests","Tropical evergreen forest","TEF"
"AA0124","Sulawesi montane rain forests","Tropical evergreen forest","TEF"
"AA0125","Trobriand Islands rain forests","Tropical evergreen forest","TEF"
"AA0126","Vanuatu rain forests","Tropical evergreen forest","TEF"
"AA0127","Vogelkop montane rain forests","Tropical evergreen forest","TEF"
"AA0128","Vogelkop-Aru lowland rain forests","Tropical evergreen forest","TEF"
"AA0201","Lesser Sundas deciduous forests","Tropical deciduous forest","TDF"
"AA0202","New Caledonia dry forests","Tropical deciduous forest","TDF"
"AA0203","Sumba deciduous forests","Tropical deciduous forest","TDF"
"AA0204","Timor and Wetar deciduous forests","Tropical deciduous forest","TDF"
"AA0401","Chatham Island temperate forests","South-temperate forest","STF"
"AA0402","Eastern Australian temperate forests","South-temperate forest","STF"
"AA0403","Fiordland temperate forests","South-temperate forest","STF"
"AA0404","Nelson Coast temperate forests","South-temperate forest","STF"
"AA0405","North Island temperate forests","South-temperate forest","STF"
"AA0406","Northland temperate kauri forests","South-temperate forest","STF"
"AA0407","Rakiura Island temperate forests","South-temperate forest","STF"
"AA0408","Richmond temperate forests","South-temperate forest","STF"
"AA0409","Southeast Australia temperate forests","South-temperate forest","STF"
"AA0410","South Island temperate forests","South-temperate forest","STF"
"AA0411","Tasmanian Central Highland forests","South-temperate forest","STF"
"AA0412","Tasmanian temperate forests","South-temperate forest","STF"
"AA0413","Tasmanian temperate rain forests","South-temperate forest","STF"
"AA0414","Westland temperate forests","South-temperate forest","STF"
"AA0701","Arnhem Land tropical savanna","Savanna and scrubland","SAV"
"AA0702","Brigalow tropical savanna","Savanna and scrubland","SAV"
"AA0703","Cape York Peninsula tropical savanna","Savanna and scrubland","SAV"
"AA0704","Carpentaria tropical savanna","Savanna and scrubland","SAV"
"AA0705","Einasleigh upland savanna","Savanna and scrubland","SAV"
"AA0706","Kimberly tropical savanna","Savanna and scrubland","SAV"
"AA0707","Mitchell grass downs","Savanna and scrubland","SAV"
"AA0708","Trans Fly savanna and grasslands","Savanna and scrubland","SAV"
"AA0709","Victoria Plains tropical savanna","Savanna and scrubland","SAV"
"AA0801","Cantebury-Otago tussock grasslands","Temperate grassland","TEG"
"AA0802","Eastern Australia mulga shrublands","Savanna and scrubland","SAV"
"AA0803","Southeast Australia temperate savanna","Savanna and scrubland","SAV"
"AA1001","Australian Alps montane grasslands","Temperate grassland","TEG"
"AA1002","Central Range sub-alpine grasslands","Tropical montane grassland","TMG"
"AA1003","South Island montane grasslands","Tundra","TUN"
"AA1101","Antipodes Subantarctic Islands tundra","Tundra","TUN"
"AA1201","Coolgardie woodlands","Mediterranean","MED"
